itemTag,itemName,itemPrice,itemDesc,itemSpec,itemColor
"harlequin1","""Harlequin 1"" Print","$5.00","A print from the ""Harlequins"" triptych. This one has a yelling buddy inside someone's head.","5 x 7 inches, oil-based ink on paper.<p>These prints are made on-demand. Due to the inks used, they have a minimum production time of a week.","rosybrown"
"harlequin2","""Harlequin 2"" Print","$5.00","A print from the ""Harlequins"" triptych. This one is of a juggler.","5 x 7 inches, oil-based ink on paper.<p>These prints are made on-demand. Due to the inks used, they have a minimum production time of a week.","chocolate"
"harlequin3","""Harlequin 3"" Print","$5.00","A print from the ""Harlequins"" triptych. This one is of someone falling apart a little.","5 x 7 inches, oil-based ink on paper.<p>These prints are made on-demand. Due to the inks used, they have a minimum production time of a week.","seagreen"
