bannerMediaFile,bannerMediaAlt,isAnimation
oopsiebaby,"A greeting card in front of an envelope with a baby and a fart cloud. There is text that reads "Sorry this baby made an oopsie.""
birthdaysuit,"A greeting card in front of an envelope with a naked man wearing a party hat mid-stride. There is text on his body that reads "Happy B-day!""
timetocry,"A greeting card in front of an envelope with two sad people in the rain. There is text that reads "Tis the time to cry.""
iadooryou,"A greeting card in front of an envelope with a person looking from behind a door. There is text that reads "I a door you.""
