workDisplay,workName,workFile,workTag,workAlt,isAnimation
banner,"Greeting Cards",cards,illustration
grid,"This is Our Dream",dreamer,illustration,"Cropped in view of an illustration of a floating figure with flowing hair."
grid,"UCLA VAPAE Course Posters",courseposters,animation,"An animation of sheets of cascading paper depicting a figure painting a flower.",yes
grid,"Harlequins",harlequins,illustration,"A framed print of a juggling figure linocut displayed on a wall."
grid,"Interstellar Brews",interstellarbrews,illustration,"An illustration of someone passing their friend a PBR from one planet to another."
grid,"HugOWar",hugowar,animation,"The artist viewing an animated butterfly drinking nectar."
grid,"Do Flowers Get Haircuts?",flowerhaircut,animation,"An animation still of a flower screaming right before a pair of scissors cut it."
